normalisasi;label
dari nya pernah;negative
keren banget;positive
cepat dan mantap membuat saya puas akan jawabannya;positive
saya tidak bisa masuk akun ada tulisan playintegrity verification file itu kenapa lagi teroris kah atau apa cara mengatasi nya bagaimana tolong sampai sekarang saya tidak bisa masuk;negative
aplikasi ini bagus dan berguna bagi pelajar yang ingin tau dan mendapatkan jawaban dalam soal pelajaran mereka yang susah dari cari namun aplikasi ini terkadang atau ada beberapa soal yang sulit untuk dijawab tetap langganan chatgpt yaa;neutral
jelek banyak batasan;negative
terima kasih banyak sudah membantu saya dalam melakukan aktivitas dan tugas untuk mencari nafkah aplikasi ini sangat rekomendasi sekali sangat pintar sangat tepat dan cepat terima kasih banyak;positive
dari tanya terbaik menurut gue bus nih dari bisa banget diajak mengobrol like kayak manusia benaran kalo gue coba dari lain itu kerasa banget gitu rokoknya;positive
bagus sekali;positive
sungguh luar biasa;positive
nge bunga;negative
apakah peak baru kali ini ada yang mau mendengarkan cerita keluh kesah masalah hidup sampai berniat blunder walaupun perempuan aku tetap senang masih bisa dari akses buat yang buat nih apakah gua berterimakasih sebesarbesarnya;negative
dari nya bodoh banget sekarang keslaip banyak dari lain bukannya meningkat malah turun;negative
dari terbaik;positive
semenjak kenal chatgpt segala hal menjadi mudah terima kasih chatgpt;positive
aplikasi yang bermanfaat;positive
sangat bagus dan sangat mudah menggunakan apakah ini;positive
jelek menulis bisa tiba tiba berubah teks padahal enggak salah ketik lambat juga mencari nya mana melanggar janji pula;negative
best paling best;positive
aplikasi makin kesini makin enggak jelas tiap kali mau bikin promo atau naskah konten selalu enggak jelas mana sering salah mengasih info dan cerita yang dia berikan kayak tempelan saja dari google enggak ada kreatif sama sekali sudah ditulis panjang lebar untuk dimarahi makin ngawur jawabannya muak sekali rasanya masak lebih jelek dari gini sih sekarang;negative
semakin kesini chatgpt semakin kaku dibandingkan versi atau aku bawahnya;negative
sangat bagus tapi lama memperoleh nya;neutral
kurang dari pengadilan fotonya sih kata aku;negative
pokoknya keren deh;positive
mantap poll;positive
bunga keempat riwayat tolong benerin;negative
sudah tidak membantu sama sekali performanya tidak sekuat dulu waktu pertama kali dari rilis makin aku sini semakin amburadul;negative
bagus banget cepat buat nya terima kasih;positive
gambar yang dibuat tidak sesuai ekspektasi;negative
bagus semua cuma kadang dia juga mendeteksi soal dari gambar yang aku kirim but khas okay bisa ketik lagi biar jelas;neutral
saya sudah lama menggunakan aplikasi ini sangat bermanfaat;positive
karena batasan;negative
jawaban yang cukup membantu tetapi terkadang menyesatkan;neutral
bagus tapi sering mengulang mengulang yang sudah berlalu itu saja sih;neutral
lumayanlah;neutral
aplikasi jelek kebanyakan foto yang dari edit enggak sesuai jangan mau download ini aplikasi;negative
wajah enggak bisa sama persis;negative
think denger bodoh ganggu bet apa apa mengomong etika juga menyambung;negative
aplikasi ini sedang terganggu tidak dapat dari buka;negative
jelek;negative
bnyk lainnya smpe saya ulang aku kli pun masih ttp lainnya;negative
menurutku chat golput sekarang makin keras soal fitur keamanan dan terbatasnya konteks yang ada kalau mau buat cerita pun enggak bebas bahkan sekedar adegan mengancam atau berpelukan atau semacamnya tidak bisa ditampilkan serba harus diganti atau dia yang ganti alur meski dulu sama tapi sekarang benar enggak bebas soalnya yang kena bukan eksplisit seksual bahkan sekedar kekerasan ringan yang enggak terlalu dipermasalahkan pun mengikuti juga sekarang udh jelek bahkan enggak kreatif dulu;negative
banyak pesan yang hilang padahal sudah capekcapek dikutip payah nih perbaiki tuturnya kalo enggak mau ditinggal pengguna gimana orang mau betah pakai tambah kecewa saja sama aplikasi ini tambah mundur saja nih updatenya belum lagi suka ngulangngulang respon ngikut promo sebelumnya padahal sudah kasih perintah baru responnya terlalu kaku dan enggak akurat ikut promo kita ganggu banget lebih bagus yang versi sebelumnya daripada yang ini;negative
soalnya kebanyakan aturan mengira tinggal masuk bintang saja jelek;negative
dari nya sering mengasih chat yang ngawur dan bikin percakapan jadi enggak menyambung;negative
hapus fitur berpikir lebih panjang untuk jawaban lebih baik jawaban terlalu panjang dan trading nya lama;negative
makin dari update malah makin sore dari nya;negative
sih sampah;negative
dulu sya bisa pakai tanpa harus membayar;negative
buat emosi politisasi dari nya;negative
jelek banget;negative
chat golput sekarang jadi sensitif bangett padahal juga ada hal yang kurang baik dalam obrolan perasaan dulu juga gini kalau dari update bukan malah makin bagus malah hal yang gini juga diperbaiki atau juga ada peningkatan tolong perhatiannya untuk menyelesaikan masalah ini;negative
versi makin canggih tapi banyak pengumpulan disana siniruang kreativitas makin dibatasidari segi apasemuanya;negative
kek bercerita sama batu anjir;negative
tidak sesuai dengan ekspektasi;negative
sebenarnya bagus sih tapi kayak kurang akur misalnya meminta kayak gini malahan yang lain kayak agak error;neutral
kenapa ingin foto harus bergabung;negative
bagus banget tapi suka menjelek-jelekkan gitulama banget menunggunya;neutral
maaf dijadikan bintang untuk mengeditnya foto bareng fans dari aku kurang bisa;negative
bagus sih tapi biasanya sering ada yang salah maaf yaa;neutral
sangat jelek mohon diperbaiki;negative
makin kesini makin tidak becus;negative
bagus walaupun hati diatas tapi cukup membantu;neutral
aplikasi nya jelek;negative
sebenarnya chat golput ini secara keseluruhan udh bagus banget selama aku pakai benar membantu membahayakan selama buat penugasan kadang kesulitan tapi semenjak ada ini cukup membantu tapi keterangannya juga ada fitur simpan jawaban yang mau dari bookmark gitu kyk semisal cari jawaban terus dari ini ngejar pgn aku simpan tapi enggak ada fitur nya alhasil kudu menyalahkan indah aku catatan sendiri ayoo dong update buat fitur simpan atau bookmark gitu biar enak kalo mau buka lagi juga school obrolan;neutral
aplikasi yang bagus banget jujur tapi dari oktober ini tampilan untuk antar muka obrolan nya jujur gasuka kalo bisa kembalikan tampilan sebelum update lebih bagus dan mudah diakses;neutral
lelet dan jawaban salah semua;negative
melarang;negative
aplikasi baperan kena kata kata agak nyeleneh dikit sudah bawa perasaan selalu mengasih jawaban berpikir lebih jernih dan saya dari suruh grounding kali;negative
bagusan gini kenapa berpikir panjang segala;negative
memang kita yang harus memahami cara pemrosesan oleh dari nya tapi spesial banget kalau kita telah memahami;neutral
kadang suka mengaco kadang suka benar benerin lagi;negative
aplikasi mengesalkan cok sumpah enggak bisa netral kalo bahas politik ganjar;negative
parah hasil photo nya jadi melenceng jadi wajah org lain kecewa;negative
yah walaupun hasil gambar nya lama tapi hasil nya sangat memuaskan;neutral
masih ada yang salah;negative
enggak tau;neutral
bagus tapi respon lambat;neutral
bagus aplikasinya enggak kayak cincin ini benar dan akurat daripada cincin;positive
aplikasi ini membantu untuk menyelesaikan tugas yang sudah tapi tolong jangan ada keterbatasan untuk mengirimkan foto;neutral
chat golput sekarang ada golput good nyaa jadi harus berbayar nge bantu tapi harus bayar woi;neutral
sudah bagusmudah dipahami tapi kadang jawabannya ngawurmohon untuk diperbaiki lagi kedepannyasaya selalu memakai chat golput soalnya untuk belajar dan membuat tugas;neutral
hasil nya bagus meski minggu agak lama;neutral
mengental nya lama tpi oke lahan kalo mengeditnya foto cpettin dikit kek soalnya lama banget;neutral
polisi sekaligus tambahan golput sampai mohon polisi;neutral
walaupun bisa diajak curhat dan juga mengobrol tapi saya mau bertanya nih kenapa proses pembuatan gambar tuh lama saya sudah menunggu dari jam smpe jam malam belum selesai tolong dari fix saya mau lihat hasil gambarnya;neutral
bagus tapi lama;neutral
bintang dulu deh soalnya baru belajar;neutral
