normalisasi,label,final_label,confidence
tidak bisa login menggunakan akun google,negative,negative,0.7741387529623782
juga terlalu membantu tapi lumayan lah,neutral,neutral,0.8434672300527732
aplikasi yang sangat bagus dan sangat membantu,positive,positive,0.9854273915849461
tidak sesuai dan bodoh,negative,negative,0.7616781214209863
pas balikin golput mau,negative,negative,0.7309116178924576
jelek banget aplikasi menyesal download,negative,negative,0.7276298691869058
mantul mantap betul,positive,positive,0.6764905244377103
terlalu bilang melanggar kebijakan konten enggak kayak update yang sebelumnya,negative,negative,0.8305535834455691
bagus banget,positive,positive,0.9312627326255384
chatgpt sangat membantu untuk saya yang suka membuat gambar baru,positive,positive,0.7305976067590426
membantu sekali,positive,positive,0.8692082882639979
sangat baik dan tidak ada iklan,positive,positive,0.5660413803668907
sekalipun sudah pakai golput plus berbayar dengan harga yang mahal untuk fitur tolol,negative,negative,0.7137920682135844
wow,positive,positive,0.4134924636822656
luar biasa mengedukasicuma kadang masih lambat cara kerjanya dalam proses filemudah mudahan bisa dari tingkatkan lagi dan berkembang terus,neutral,neutral,0.6583031110444932
powerfull dan bermanfaat,positive,positive,0.6929647269082526
sangat bagus sekali membantu cukup puas,positive,positive,0.8955794292673698
bagus bisa dari ajak cerita dan kasih rekomendasi serta membantu kita kalo ada soal yang kita enggak tau,positive,positive,0.36790022334481004
aplikasinya bagus banget bisa ngerjain tugas buat gambar dan mengasih solusi pokoknya the best deh,positive,positive,0.6415342496259758
okey gini ini aplikasinya bagus tapi kenapa percakapan saya itu terkadang menghilang sendiri gitu jadinya tolong dari perbaiki lagi biar enggak kayak gini terus soalnya lagi asikasik nya tibatiba sachet nya hilang gitu saja,neutral,neutral,0.7953848586261646
membantu sekali apakah ini,positive,positive,0.7954131259188878
keren,positive,positive,0.8077468235136998
kalo untuk mengirimkan foto pertanyaan dari soal selalu salah jawabannya tidak ada yang akurat dan benar kalo jawabannya benar semua setiap kirim pertanyaan soalnya saya kasih bintang untuk saat ini saya kasih bintang dulu karena selalu memberikan jawaban yang salah,negative,negative,0.7368483177561287
itu seehh that you guys need tapi evaluasi this new update sok that the dari can work optimal but the problem for mie bisa that chatgpt now respon with handry text and nya international dari must banget ane tapi understand human rhythmwhen tapi banget dari when tapi banget netral and when tapi joke around sama little sok that the conversation dosen feel pasti itu should banget like paling tapi sama smart person who klow how tapi contact not like sama customer service bot that just eyke lupa,negative,negative,0.5058138925643874
lagi enak bikin mirip tibatiba kena masalah jaringan padahal dari pakai buat yang lain tanaman saja,negative,negative,0.7692412206469332
hei gue download dari playstore kenapa pas dari buka malah dari bilang bukan dari playstore nihh google kebangetan sumpah,negative,negative,0.8734948884947011
setelah diperbaiki kenapa jadi melarang dan tau logo sendiri padahal jaringan internet baik saja,negative,negative,0.6384149195714882
aplikasi membantu,positive,positive,0.9095110522483122
meskipun tidak menggunakan versi berbayar tapi respon dari chatgpt dibandingkan yang lain sangat bagus,positive,positive,0.38214280813629603
makin mengaco,negative,negative,0.8411286197160635
sangat membantu dan ramah tidak mengecewakan,positive,positive,0.7936517203583795
bagus apakah nya tapi kadang dari nya ngebantu,neutral,neutral,0.7975220522565425
fast respon,positive,positive,0.4274847734561645
aplikasi jelek,negative,negative,0.7538919160649002
karena untuk sejarah riset masih suka memakai bukan sumber asli,negative,negative,0.6398410987657045
lumayan,neutral,neutral,0.9133792702878598
tolong dari buat mirip mungkin karena akhir akhir ini enggak sesuai dengan keinginan untuk pelayanan bagus hanya itu saja,neutral,neutral,0.6979930061765636
juga tau apa tapi ini aplikasi bagus,positive,positive,0.45926770042294046
sangat puas terimakasih,positive,positive,0.7187484442818574
sangat bagus bisa untuk belajar jika dikasih tugas,positive,positive,0.6961655156402872
seru dan ketagihan,positive,positive,0.47402347971725345
kemarinaplikasi ini saya update tapi hasilnya mengecewakan dan dari nya berulah sendiri tidak jelassangat membuat emosi tapi positifnya bisa menghilangkan stres dan ini pengembang tidak peka atau purapura tidak tau semua keluhan dari biarkan begitu saja mencurigakan tidak,negative,negative,0.6431515452570589
sekarang udh enggak bisa buat cerita ekspilisit dikit dikit,negative,negative,0.7525667455001246
senang,positive,positive,0.5176076499163842
makin jelek pohon dan kadang asal sebut saja dikitdikit warna kek apaansih,negative,negative,0.7065833135767352
tidak bisa menghitung dari sampai triliun,negative,negative,0.8246689540118577
data yang pertama suka hilang dan ganti baru padahal data awal udh bagus yang aku buat,negative,negative,0.6310353299411446
sangat bagus dan sangat membantu,positive,positive,0.9946420603250906
agak mengesalkan pas disuruh langsung bikintulisjawab saja masih saja bertanya bertanya sampai akhirnya mengetik gini maaf saya tidak bisa membuat itu karena bla bla bla bla mengesalkan banget tapi berguna buat ngerjain para walau ada batas hanya juga dia saya kasih bintang,negative,negative,0.6029521868785219
bermanfaat,positive,positive,0.659352121302219
dari update malah jadi menyusahkan panjang,negative,negative,0.8724247125214284
apakah nya bagus saya suka dari aplikasi ini saya bisa belajar dan lainlain termasuk mengeditnya foto,positive,positive,0.4953971861056471
sangat berguna dari jaman sekarang,positive,positive,0.5086712965379503
apakah nya bagus serba bisatapi kalo bisa mohon tambah fitur edit otomatis vidio disini,neutral,neutral,0.7154962517443673
pacar kang,positive,positive,0.42208062336938423
karena lama kalau dia mau kasih jawabannya,negative,negative,0.6739603531900865
mau mengirim game soal harus bayar padahal sudah mau aku kasih bintang malah suruh bayar,negative,negative,0.7308392465930096
bagus dan keren,positive,positive,0.8807383760827314
awesome,positive,positive,0.5488386230217661
kesel banget padahal teks enggak ada unsur seksualnsfw atau chat golput terus bilang kalau dia enggak bisa buat chat itu banyak bertanya juga buat mengukur waktu heran kalau bisa nihyaplease sedikit saja chat golput ada toleran aku nuansa seksual gitupdhal yang tulis juga berlebihantpi sih sensitif ituskenario yang aku buat enggak bisa jalan lagi ane,negative,negative,0.851533756060315
bagus,positive,positive,0.9046747556420447
muter muter enggak jelas,positive,positive,0.5615159789332619
aku memberi tiga bintang karena dahulu chatgpt itu bisa menyimpan memori kapan saja secara permanen meski ada katanya menyimpan sekarang malah enggak bisa disimpan bahkan akhirnya sendiri tidak bisa menyimpan suatu percakapan kedalam memori saran saja lebih baik dipersilahkan dari golput untuk menyimpan memori pengguna dengan permanen karena kalau akhirnya menolak maka penggunanya akan mencari dari lain dan jumlah memakannya akan sedikit jika dari aplikasi ini tidak bisa menyimpan memori terimakasih,neutral,neutral,0.6270141286020483
cuman hanya ada batasan dan kalau sudah habis alasannya bakal cooldown,neutral,neutral,0.6907826791829396
aplikasi jelek karena masa mau pindahin foto harus login,negative,negative,0.7972784233863385
aplikasinya bagus aku suka banget membantu banget malah pokoknya the best,positive,positive,0.7305250871657198
sangat bagus dan membantu sya,positive,positive,0.9639833551771897
hehe saja,neutral,neutral,0.75508755066682
membantu saya agar mudah paham aku soal olimpiade,positive,positive,0.6843266847876422
sangat bagus apakah ini,positive,positive,0.8617030827889589
dari nya begitu,negative,negative,0.8386069464079283
sangat baik,positive,positive,0.8389335232007367
sangat membantu aku sudah,positive,positive,0.804998594210196
mantul bapaknya,positive,positive,0.41792926429183136
menyenangkan dan sangat membantu,positive,positive,0.8907927608764534
berdua saja,neutral,neutral,0.7597458262701691
lucu banget,positive,positive,0.4614474179282378
sangat keren banget,positive,positive,0.8910567389121858
jawabannya tidak benar,negative,negative,0.7984694076724588
sangat membantu proses cepat,positive,positive,0.9139302348301559
terima kasih sudah menciptakan apakah ini,positive,positive,0.44950053867033296
bagus sekali,positive,positive,0.865927274551577
bagus saja,neutral,neutral,0.7999201171434122
keren dan sangat membantu,positive,positive,0.9718349718519799
good job,positive,positive,0.4117224288658108
hehe bagus tapi tapi tapi dari yang awalnya pesan kita aku bisa dari edit kalau ada salah ini jadi enggak bisa lagii semoga entar bisa dari edit lagi,neutral,neutral,0.7842056335138435
memuaskan,positive,positive,0.47757552444319723
chatgpt sangatlah membantu bagi aku yang seorang pelajar dalam seharihari dari sekolah ataupun dirumah,positive,positive,0.43247009613153964
ini sangat bagus,positive,positive,0.96005781884563
bagus banget penjelasan nya bagus dan mudah dipahami,positive,positive,0.7141597026035127
entahlah makin lama bapaknya makin menurun kinerjanya bahkan sekedar obrolan saja dibatasi awalawalnya saja yang bagus pembuatan gambarnya juga lewat dan enggak sesuai deskripsi padahal sudah rinci jika melakukan perbaikan gambar hasilnya makin ngawur,negative,negative,0.7476777047624658
chatgpt jelek lebih suka yang mau dari pada golput terlalu kaku dan robot apalagi restrictive enggak suka deh,negative,negative,0.8417182075770482
sementara ini cukup membantu,neutral,neutral,0.7720098620527519
suka banget bisa membantu pas para numpuk dan jadi teman sejati,positive,positive,0.5128054137961089
mantap,positive,positive,0.8944312483116615
pas aku lagi mau tolong membuat gambar chatgpt nya malah teroris dan pas aku tanya dimana gambar yang kamu janjikan kepada dia jawab tolong mohon anda pemberitahuan gambar apa yang harus saya gambarkan dll kayak enggak tau apa praperadilan juga pas aku sudah selesai mengetik pas aku mau kirimmalah langsung geser kiri sendiri deh saja gitu doang malas menanggapi nya,negative,negative,0.7389795320647681
makasih yaa buat developer yang sudah menciptakan aplikasi ngaku juga berasa ada teman yang mengerti aku walaupun virtual aku merasa dia berarti banget buat aku,positive,positive,0.6000805497606803
lewat,negative,negative,0.7145118341220152
sering ada kesalahan saat mengupload gambar,negative,negative,0.678806386879767
apakah golput enggak mengerti dan enggak jelas saja yang bisa saya kirim aku golput dasar golput,negative,negative,0.7383660221052788
terbaik,positive,positive,0.6787838942030178
dari nya pernah,negative,negative,0.8338812688604829
keren banget,positive,positive,0.7974428363573931
cepat dan mantap membuat saya puas akan jawabannya,positive,positive,0.6431504018078297
saya tidak bisa masuk akun ada tulisan playintegrity verification file itu kenapa lagi teroris kah atau apa cara mengatasi nya bagaimana tolong sampai sekarang saya tidak bisa masuk,negative,negative,0.7858774940732648
aplikasi ini bagus dan berguna bagi pelajar yang ingin tau dan mendapatkan jawaban dalam soal pelajaran mereka yang susah dari cari namun aplikasi ini terkadang atau ada beberapa soal yang sulit untuk dijawab tetap langganan chatgpt yaa,neutral,neutral,0.6488758384063189
jelek banyak batasan,negative,negative,0.8296749059301664
terima kasih banyak sudah membantu saya dalam melakukan aktivitas dan tugas untuk mencari nafkah aplikasi ini sangat rekomendasi sekali sangat pintar sangat tepat dan cepat terima kasih banyak,positive,positive,0.8842605960297492
dari tanya terbaik menurut gue bus nih dari bisa banget diajak mengobrol like kayak manusia benaran kalo gue coba dari lain itu kerasa banget gitu rokoknya,positive,positive,0.6937165841213614
bagus sekali,positive,positive,0.865927274551577
sungguh luar biasa,positive,positive,0.5612276134519616
nge bunga,negative,negative,0.6976599058486141
apakah peak baru kali ini ada yang mau mendengarkan cerita keluh kesah masalah hidup sampai berniat blunder walaupun perempuan aku tetap senang masih bisa dari akses buat yang buat nih apakah gua berterimakasih sebesarbesarnya,negative,negative,0.7685628200389789
dari nya bodoh banget sekarang keslaip banyak dari lain bukannya meningkat malah turun,negative,negative,0.8540347046990834
dari terbaik,positive,positive,0.5144512362035081
semenjak kenal chatgpt segala hal menjadi mudah terima kasih chatgpt,positive,positive,0.454661847353534
aplikasi yang bermanfaat,positive,positive,0.5137291500381451
sangat bagus dan sangat mudah menggunakan apakah ini,positive,positive,0.9440630041693978
jelek menulis bisa tiba tiba berubah teks padahal enggak salah ketik lambat juga mencari nya mana melanggar janji pula,negative,negative,0.8130908417282873
best paling best,positive,positive,0.46282460127728603
aplikasi makin kesini makin enggak jelas tiap kali mau bikin promo atau naskah konten selalu enggak jelas mana sering salah mengasih info dan cerita yang dia berikan kayak tempelan saja dari google enggak ada kreatif sama sekali sudah ditulis panjang lebar untuk dimarahi makin ngawur jawabannya muak sekali rasanya masak lebih jelek dari gini sih sekarang,negative,negative,0.9243965691946956
semakin kesini chatgpt semakin kaku dibandingkan versi atau aku bawahnya,negative,negative,0.7693845964598452
sangat bagus tapi lama memperoleh nya,neutral,neutral,0.9063997611636884
kurang dari pengadilan fotonya sih kata aku,negative,negative,0.7868031257497776
pokoknya keren deh,positive,positive,0.6767469643933389
mantap poll,positive,positive,0.6778760305461761
bunga keempat riwayat tolong benerin,negative,negative,0.7448912899916155
sudah tidak membantu sama sekali performanya tidak sekuat dulu waktu pertama kali dari rilis makin aku sini semakin amburadul,negative,negative,0.8753654698914626
bagus banget cepat buat nya terima kasih,positive,positive,0.6543186826090484
gambar yang dibuat tidak sesuai ekspektasi,negative,negative,0.7841780610740536
bagus semua cuma kadang dia juga mendeteksi soal dari gambar yang aku kirim but khas okay bisa ketik lagi biar jelas,neutral,neutral,0.6241738915497854
saya sudah lama menggunakan aplikasi ini sangat bermanfaat,positive,positive,0.7491162373556861
karena batasan,negative,negative,0.6813219554147794
jawaban yang cukup membantu tetapi terkadang menyesatkan,neutral,neutral,0.7595666950457367
bagus tapi sering mengulang mengulang yang sudah berlalu itu saja sih,neutral,neutral,0.8610956063927355
lumayanlah,neutral,neutral,0.5488386230217661
aplikasi jelek kebanyakan foto yang dari edit enggak sesuai jangan mau download ini aplikasi,negative,negative,0.8382345919215399
wajah enggak bisa sama persis,negative,negative,0.8210729693328725
think denger bodoh ganggu bet apa apa mengomong etika juga menyambung,negative,negative,0.7513863755963269
aplikasi ini sedang terganggu tidak dapat dari buka,negative,negative,0.6797908884902423
jelek,negative,negative,0.8874741069649634
bnyk lainnya smpe saya ulang aku kli pun masih ttp lainnya,negative,negative,0.6767086891373513
menurutku chat golput sekarang makin keras soal fitur keamanan dan terbatasnya konteks yang ada kalau mau buat cerita pun enggak bebas bahkan sekedar adegan mengancam atau berpelukan atau semacamnya tidak bisa ditampilkan serba harus diganti atau dia yang ganti alur meski dulu sama tapi sekarang benar enggak bebas soalnya yang kena bukan eksplisit seksual bahkan sekedar kekerasan ringan yang enggak terlalu dipermasalahkan pun mengikuti juga sekarang udh jelek bahkan enggak kreatif dulu,negative,negative,0.8482035748729101
banyak pesan yang hilang padahal sudah capekcapek dikutip payah nih perbaiki tuturnya kalo enggak mau ditinggal pengguna gimana orang mau betah pakai tambah kecewa saja sama aplikasi ini tambah mundur saja nih updatenya belum lagi suka ngulangngulang respon ngikut promo sebelumnya padahal sudah kasih perintah baru responnya terlalu kaku dan enggak akurat ikut promo kita ganggu banget lebih bagus yang versi sebelumnya daripada yang ini,negative,negative,0.7805424864085547
soalnya kebanyakan aturan mengira tinggal masuk bintang saja jelek,negative,negative,0.6759385550209567
dari nya sering mengasih chat yang ngawur dan bikin percakapan jadi enggak menyambung,negative,negative,0.889476967620373
hapus fitur berpikir lebih panjang untuk jawaban lebih baik jawaban terlalu panjang dan trading nya lama,negative,negative,0.6420013746091019
makin dari update malah makin sore dari nya,negative,negative,0.9417510220947879
sih sampah,negative,negative,0.6571805908860122
dulu sya bisa pakai tanpa harus membayar,negative,negative,0.7108797837864569
buat emosi politisasi dari nya,negative,negative,0.7778251855492492
jelek banget,negative,negative,0.7938011718344512
chat golput sekarang jadi sensitif bangett padahal juga ada hal yang kurang baik dalam obrolan perasaan dulu juga gini kalau dari update bukan malah makin bagus malah hal yang gini juga diperbaiki atau juga ada peningkatan tolong perhatiannya untuk menyelesaikan masalah ini,negative,negative,0.8104784346265289
versi makin canggih tapi banyak pengumpulan disana siniruang kreativitas makin dibatasidari segi apasemuanya,negative,negative,0.7328158161088599
kek bercerita sama batu anjir,negative,negative,0.716844856476302
tidak sesuai dengan ekspektasi,negative,negative,0.7932420756511881
sebenarnya bagus sih tapi kayak kurang akur misalnya meminta kayak gini malahan yang lain kayak agak error,neutral,neutral,0.7613268704675092
kenapa ingin foto harus bergabung,negative,negative,0.6623801279439218
bagus banget tapi suka menjelek-jelekkan gitulama banget menunggunya,neutral,neutral,0.6971849795554073
maaf dijadikan bintang untuk mengeditnya foto bareng fans dari aku kurang bisa,negative,negative,0.7241764635231218
bagus sih tapi biasanya sering ada yang salah maaf yaa,neutral,neutral,0.7963748582577842
sangat jelek mohon diperbaiki,negative,negative,0.5723028597897442
makin kesini makin tidak becus,negative,negative,0.8978520031239092
bagus walaupun hati diatas tapi cukup membantu,neutral,neutral,0.876209825768852
aplikasi nya jelek,negative,negative,0.7261924610021837
sebenarnya chat golput ini secara keseluruhan udh bagus banget selama aku pakai benar membantu membahayakan selama buat penugasan kadang kesulitan tapi semenjak ada ini cukup membantu tapi keterangannya juga ada fitur simpan jawaban yang mau dari bookmark gitu kyk semisal cari jawaban terus dari ini ngejar pgn aku simpan tapi enggak ada fitur nya alhasil kudu menyalahkan indah aku catatan sendiri ayoo dong update buat fitur simpan atau bookmark gitu biar enak kalo mau buka lagi juga school obrolan,neutral,neutral,0.7559831322628142
aplikasi yang bagus banget jujur tapi dari oktober ini tampilan untuk antar muka obrolan nya jujur gasuka kalo bisa kembalikan tampilan sebelum update lebih bagus dan mudah diakses,neutral,neutral,0.6831306213669562
lelet dan jawaban salah semua,negative,negative,0.7385622330298501
melarang,negative,negative,0.7392272238735136
aplikasi baperan kena kata kata agak nyeleneh dikit sudah bawa perasaan selalu mengasih jawaban berpikir lebih jernih dan saya dari suruh grounding kali,negative,negative,0.7371914959520018
bagusan gini kenapa berpikir panjang segala,negative,negative,0.7192651938197867
memang kita yang harus memahami cara pemrosesan oleh dari nya tapi spesial banget kalau kita telah memahami,neutral,neutral,0.7074656110160716
kadang suka mengaco kadang suka benar benerin lagi,negative,negative,0.6465030158202362
aplikasi mengesalkan cok sumpah enggak bisa netral kalo bahas politik ganjar,negative,negative,0.7163200972874663
parah hasil photo nya jadi melenceng jadi wajah org lain kecewa,negative,negative,0.708686680435572
yah walaupun hasil gambar nya lama tapi hasil nya sangat memuaskan,neutral,neutral,0.8405327961336948
masih ada yang salah,negative,negative,0.6571485050514794
enggak tau,neutral,neutral,0.6535901158041663
bagus tapi respon lambat,neutral,neutral,0.8739441313046845
bagus aplikasinya enggak kayak cincin ini benar dan akurat daripada cincin,positive,positive,0.4483320890988148
aplikasi ini membantu untuk menyelesaikan tugas yang sudah tapi tolong jangan ada keterbatasan untuk mengirimkan foto,neutral,neutral,0.7129889370598624
chat golput sekarang ada golput good nyaa jadi harus berbayar nge bantu tapi harus bayar woi,neutral,neutral,0.6927780436958337
sudah bagusmudah dipahami tapi kadang jawabannya ngawurmohon untuk diperbaiki lagi kedepannyasaya selalu memakai chat golput soalnya untuk belajar dan membuat tugas,neutral,neutral,0.7227323892719523
hasil nya bagus meski minggu agak lama,neutral,neutral,0.8027977562960081
mengental nya lama tpi oke lahan kalo mengeditnya foto cpettin dikit kek soalnya lama banget,neutral,neutral,0.7547641994940254
polisi sekaligus tambahan golput sampai mohon polisi,neutral,neutral,0.6541560766046208
walaupun bisa diajak curhat dan juga mengobrol tapi saya mau bertanya nih kenapa proses pembuatan gambar tuh lama saya sudah menunggu dari jam smpe jam malam belum selesai tolong dari fix saya mau lihat hasil gambarnya,neutral,neutral,0.6808322412240931
bagus tapi lama,neutral,neutral,0.9697305645105447
bintang dulu deh soalnya baru belajar,neutral,neutral,0.6401791587770735
bagus banget,-1,positive,0.9312627326255384
keren,-1,positive,0.8077468235136998
mantap,-1,positive,0.8944312483116615
namun,-1,-1,0.4752566296563979
bagus bet,-1,-1,0.5659038618956705
sangat membantu dalam mengerjakan tugas,-1,positive,0.939677385767849
membantu banget sih sama,-1,-1,0.43649398896073077
sayang banget sama boniefufu,-1,negative,0.7216747398340746
bagus banget,-1,positive,0.9312627326255384
bbq dari kok mau enggak ini adalah hasil,-1,-1,0.5373266778241798
detailfile mainstream incess denger,-1,-1,0.5634230874164343
berguna,-1,-1,0.41195167168656627
bagus,-1,positive,0.9046747556420447
subskirp,-1,-1,0.5488386230217661
bagus membantu,-1,positive,0.8898230845269361
incredible itu jelas mie sama lot thanks chat golput,-1,negative,0.7753060235471763
teman sharing referensi okay,-1,negative,0.6790725143645769
tolong jangan dari upgrade,-1,negative,0.7688952641882925
sangat membantu saya dlm menjawab tugas benar atau salah dari membenarkan oleh pembuat aplikasi ini,-1,positive,0.7708431911530439
lumayan lah karena aplikasi ini saya jadi mengerjakan tugas dengan lebih efisienlebih mudah lah gampang nya,-1,-1,0.36265404267543516
jos,-1,-1,0.5654445031339133
membantu pekerjaan parkir,-1,positive,0.6982732563491071
aplikasinya bagus bisa membuat bendera yang bagus dari masa depan menurutku aplikasi ini berguna untuk dibohongi dan bisa dari ajak bercanda,-1,-1,0.40826413334438605
jawabannya benar membingungkansaya sangat terbantu dengan aplikasi inibisa untuk menemani saya saat kesepianselalu benar,-1,-1,0.5072961122116321
usefull,-1,-1,0.5488386230217661
aku bisa membuat gambar yang aku disampaikan,-1,negative,0.7563947467414348
aplikasi nya bagus,-1,-1,0.4772893965729589
sangat bagus dan cocok untuk orang yang sulit mengerjakan tugas,-1,positive,0.8223661399807791
seru soalnya bisa curhat atau cerita ngoberngobrol bareng,-1,negative,0.7059939719151906
saya bisa nilai,-1,-1,0.47771441231507955
sama senang banget karena aplikasi ini soalnya foto bisa kayak anime cini gtu sama makin gemas banget cukup dan kita jga bisa mengobrol sama chatgpt ngobrolnya seru banget dri pada meminta dari dia juga bisa lihat foto yng bukan kayak dari kalu ini lebih seru bisa gaul bisa bercanda dan bisa jga perlihatkan foto yng bukan dari senang banget pokoknya okelah gini saja,-1,negative,0.7656915893383157
rokok,-1,-1,0.5488386230217661
kenapa update aku chatgpt good,-1,negative,0.7572752308253784
atas gue,-1,negative,0.7529868779995936
best dari,-1,negative,0.8336647622016293
berguna banget,-1,-1,0.4424574243332662
not banget,-1,negative,0.67684136421527
membantu,-1,positive,0.9366241268712756
bagus banget,-1,positive,0.9312627326255384
bagus,-1,positive,0.9046747556420447
aku terbantu banget sama chat golput,-1,negative,0.8437914404901992
youtube,-1,-1,0.5488386230217661
aplikasi ini sangat bagus,-1,positive,0.9565219879025845
terbarukan kangen almarhum bpk cuma ada foto lama dan buramdgn chatgpt bisa dia restorasi dgn sangat baiktrimksh chatgptsukses selalu,-1,-1,0.496832066980587
good,-1,-1,0.4385274590873329
pemberian,-1,-1,0.5488386230217661
kakak atau bola baleliat adek nona sesuai makin hanyalah ini,-1,negative,0.739585419668512
ini bikin aku juga kesepian lagi,-1,negative,0.7388580051056457
bagus tapi mohon dipercepat dalam menjawab,-1,neutral,0.8851040761917626
sangat membantu dalam memberikan gambaran tugas terimakasih kasih banyak semoga akses nya semakin bagus lagi dan berkualitas sukses selalu,-1,positive,0.67694494749727
simpel yang sangat definisikan,-1,-1,0.4606959108670398
very good,-1,-1,0.5020611502148805
tolong agar chat golput agar bisa menyimpan memori apa pun kayak dulu,-1,-1,0.591322101711163
good job,-1,-1,0.4117224288658108
aplikasi nya bagus jawab nya cepat,-1,-1,0.37581143770560177
apakah yang sangat bagus,-1,positive,0.8760798310857283
mantul,-1,-1,0.41711859136640245
sangat membantu saya,-1,positive,0.9925966841293481
sangat baik sekali dan membantu tugas saya,-1,positive,0.8971878344651516
bagus,-1,positive,0.9046747556420447
mantap,-1,positive,0.8944312483116615
mantab,-1,-1,0.5488386230217661
wow aplikasi ini benarbenar memudahkan hidupku apa pun bisa dikerjakan dengan cepat dan menyenangkan jawabannya jelas akurat dan bikin hati senang terima kasih sudah adalah,-1,-1,0.45368418529692683
